uuid,chinese_name,english_name,year,type,location,quantity,remarks
51f16fd2-e5b5-11ec-b2b0-0000000007e6,2022至2023年大學堂學生會年度計劃,,2022,book,,2,
51f1ead4-e5b5-11ec-bcaa-a0999b044eaf,銅梯合照,,,photo,,3,
51f1f880-e5b5-11ec-bcaa-a0999b044eaf,薄扶林村黑色硬卡紙裱相片,,,,,9,
51f1feac-e5b5-11ec-8fbf-0000000007de,時政文章集,,2014,fileholder,,1,螢光綠色文件夾
51f20d66-e5b5-11ec-8e0a-0000000007e6,Castlers’ Handbook (1975-76),,2022,book,,1,信封
51f228aa-e5b5-11ec-bbcd-0000000007e5,,Ricci Newsletter (vol.9),2021,book,,6,
51f2361a-e5b5-11ec-9ab8-0000000007e2,大學堂迎新二零一八迎新手冊,,2018,book,,5,
51f2cd1e-e5b5-11ec-ab4f-0000000007e1,第一次傾莊,,2017,,,,
51f31db4-e5b5-11ec-bcaa-a0999b044eaf,第三次傾莊,,,paper,,,
51f334fc-e5b5-11ec-bcaa-a0999b044eaf,,Green Flag,,flag,,1,
51f34b86-e5b5-11ec-8b81-0000000007de,,Touch Camp 2015 Detective Game,2014,paper,,2,
51f3537e-e5b5-11ec-bcaa-a0999b044eaf,大學堂的歷史故事,,,paper,,7,
